sample_date,approved_site_name,latitude,longitude,location_filter,disease_present,pisaster_ochraceus,pycnopodia_helianthoides,pisaster_giganteus,pisaster_brevispinus,evasterias,patiria,strongylocentrotus_purpuratus,species_no_disease_evident,species_disease_evident,name,affiliation,add_to_map
2019-08-02,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Alexis Necarsulmer,MARINe (UCSC),yes
2019-08-29,Alegria,34.467137,-120.27818,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mirella Cortez,MARINe (UCSC),yes
2019-09-30,Alegria,34.467137,-120.27818,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mirella Cortez,MARINe (UCSC),yes
2019-11-12,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mirella Cortez,MARINe (UCSC),yes
2019-12-11,Alegria,34.467137,-120.27818,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Alexis Necarsulmer,MARINe (UCSC),yes
2020-03-06,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,no,species not observed,species not observed,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Alexis Necarsulmer,MARINe (UCSC),yes
2020-06-05,Alegria,34.467137,-120.27818,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Alexis Necarsulmer,MARINe (UCSC),yes
2020-11-13,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2021-11-07,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2022-10-26,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe,yes
2018-05-18,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,no,species not observed,species not observed,no,species not observed,NONE,NONE,,MARINe (UCSC),yes
2021-07-21,Alert Bay,50.592603,-126.93961,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Richard and Pat Grass,NULL,yes
2017-06-11,Alert Bay,50.592603,-126.93961,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Anton North,,yes
2017-06-12,Alert Bay,50.592603,-126.93961,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Anton North,,yes
2014-10-24,Aleutkina Bay,56.997618,-135.28287,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Solaster spp.,NONE (no additional sea stars observed showing disease symptoms),Lynn Wilbur,University of Aberdeen,yes
2014-05-18,South Alki Large Jetty,47.580953,-122.40814,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,Danica Sheridan,,yes
2016-01-10,Constellation Point,47.572835,-122.41532,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Leo Shaw,Seattle Aquarium,yes
2023-08-02,Constellation Point,47.572835,-122.41532,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Leo Shaw,Seattle Aquarium,yes
2013-11-05,Alki Beach Constellation MR,47.586139,-122.40347,other,no,no,no,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Leo Shaw,,yes
2018-03-21,Alki Point; Seattle ST,47.580231,-122.41334,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata; Henricia spp.; Solaster spp.;,NONE (no additional sea stars observed showing disease symptoms);,Dale Dickinson,,yes
2015-06-02,Alki Point Beach,47.575,-122.419,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Leo Shaw,Seattle Aquarium,yes
2015-11-24,Alki Point Beach,47.575,-122.419,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Leo Shaw,Seattle Aquarium,yes
2014-06-26,Alki Point Beach,47.575,-122.419,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Joel Elliott,University of Puget Sound,yes
2013-11-13,Alki Junkyard,47.580231,-122.41334,other,yes,species not observed,yes,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,Solaster spp,Joshua Sera,,yes
2014-07-13,Alki Point Beach,47.575,-122.419,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Dennis Paulson,Slater Museum of Natural History; University of Puget Sound,yes
2013-11-13,Alki Point; Seattle ST,47.580231,-122.41334,subtidal,yes,species not observed,yes,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),Solaster spp.,Joshua Sera,,yes
2014-10-25,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Mark Nayer,NULL,yes
2014-11-15,Allyn Town Dock,47.383227,-122.8265,other,yes,yes,species not observed,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Mark Nayer,NULL,yes
2014-12-14,Allyn Town Dock,47.383227,-122.8265,other,yes,no,species not observed,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2015-01-12,Allyn Town Dock,47.383227,-122.8265,other,no,no,no,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2015-02-09,Allyn Town Dock,47.383227,-122.8265,other,yes,yes,no,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2015-03-12,Allyn Town Dock,47.383227,-122.8265,other,yes,yes,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2015-05-13,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2015-12-14,Allyn Town Dock,47.383227,-122.8265,other,yes,yes,no,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2016-02-15,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2022-01-06,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,NULL,yes
2013-12-14,Allyn Town Dock,47.383227,-122.8265,other,yes,species not observed,yes,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Mark Nayer,,yes
2014-01-25,Allyn Town Dock,47.383227,-122.8265,other,yes,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Mark Nayer,,yes
2015-10-07,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2017-02-06,Allyn Town Dock,47.383227,-122.8265,other,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE,NONE,Mark Nayer,Mark Nayer,yes
2017-08-04,Allyn Town Dock,47.383227,-122.8265,other,yes,yes,species not observed,species not observed,yes,yes,species not observed,species not observed,NONE,NONE,Mark Nayer,Mark Nayer,yes
2015-04-15,Allyn Town Dock,47.383227,-122.8265,other,no,no,no,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2016-05-02,Almar,36.951386,-122.042283,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,John Pearse,LiMPETS,yes
2014-09-01,Althrop Point,50.4496,-125.753,subtidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE,Solaster spp,Neil McDaniel,,yes
2021-04-01,Amalga Harbor,58.492526,-134.78956,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sarah Traiger,USGS,yes
2023-03-19,Amalga Harbor,58.492526,-134.78956,intertidal,no,species not observed,no,species not observed,species not observed,no,species not observed,species not observed,Crossaster papposus; Solaster spp.;,NONE (no additional sea stars observed showing disease symptoms);,Annette Smith,NULL,yes
2018-05-17,Amelia Island,49.302214,-124.152461,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Yvonne Leduc,,yes
2013-07-09,American Camp,48.457314,-123.02222,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),,MARINe,yes
2014-05-29,American Camp,48.457314,-123.02222,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Henricia spp.,NONE (no additional sea stars observed showing disease symptoms),Steve Fradkin,MARINe (Olympic National Park),yes
2021-01-17,Ann Coleman Wall,58.362348,-134.645557,intertidal,no,species not observed,no,species not observed,species not observed,no,species not observed,species not observed,Solaster spp.; Crossaster papposus,NONE (no additional sea stars observed showing disease symptoms);,Annette Smith,NULL,yes
2014-01-17,Cathedral Cove,34.015871,-119.36837,subtidal,no,no,no,no,no,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jacob Eurich; Carlos Mireles; Derek Stein,California Department of Fish and Wildlife,yes
2014-01-17,East Fish Camp,34.0045,-119.38578,subtidal,no,no,no,no,no,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jacob Eurich; Carlos Mireles; Derek Stein,California Department of Fish and Wildlife,yes
